disregistry,d,energy,energy_err,en,label,stacking
0.66667,3.5,-154.60505040100912,0.0005427077347613859,-154.60506706104624,orig,AA
0.66667,3.65,-154.60579660697815,5.23826694365164e-05,-154.60545673552448,orig,AA
0.66667,3.8,-154.60475444584125,0.0006463327772299986,-154.6046273290067,orig,AA
0.66667,4.0,-154.60251385678086,0.0005373667093335429,-154.6026324876199,orig,AA
0.66667,4.5,-154.59805565955108,0.0007368805411530256,-154.59703130341114,orig,AA
0.66667,5.0,-154.5928873771206,0.0012231057702623866,-154.59284144423506,orig,AA
0.0,3.0,-154.5956038511753,0.0006246728951687238,-154.59701961097707,fit,AB
0.0,3.2,-154.60526175928538,0.00218499073579907,-154.6077983090627,fit,AB
0.0,3.35,-154.60934905246853,0.00012987783542862795,-154.61032284616155,fit,AB
0.0,3.5,-154.61032284616155,0.0001981560279821811,-154.61032130649377,fit,AB
0.0,3.65,-154.60800168990403,0.00024067768246327677,-154.60897256600273,fit,AB
0.0,3.8,-154.6057846070525,0.0006976416084969912,-154.6069851606568,fit,AB
0.0,4.0,-154.60394835386126,0.0007060404785496524,-154.60403065064386,fit,AB
0.0,4.5,-154.59732563932363,0.0003760897976453547,-154.59747616855446,fit,AB
0.0,5.0,-154.59371283790475,0.0006300259731394013,-154.59307866582012,fit,AB
0.16667,3.0,-154.59367272984977,0.0008256268481462116,-154.59368811725454,fit,SP
0.16667,3.2,-154.6059405493171,0.00048810190137959386,-154.60582727069317,fit,SP
0.16667,3.35,-154.60844595322976,0.0002458962057285028,-154.6090147955381,fit,SP
0.16667,3.5,-154.60943076078732,0.00018392539171798976,-154.60946244298816,fit,SP
0.16667,3.65,-154.60889268745456,7.963548603920887e-05,-154.6084134572094,fit,SP
0.16667,3.8,-154.60595431215148,0.00013344964064542693,-154.60662375108373,fit,SP
0.16667,4.0,-154.60343551509226,0.0005494334598936179,-154.60383048153514,fit,SP
0.16667,4.5,-154.5975379953655,0.001268833628122946,-154.59743202703302,fit,SP
0.16667,5.0,-154.59310959767495,0.0007799605478099507,-154.5930692802424,fit,SP
0.5,3.0,-154.58728817035666,0.0014281541094395569,-154.5864886841409,fit,Mid
0.5,3.2,-154.60115084633156,0.0011973219926675592,-154.60206844389566,fit,Mid
0.5,3.35,-154.60659021770974,0.00014777114535192745,-154.60670777157742,fit,Mid
0.5,3.5,-154.60769724465788,0.00011036586042630484,-154.6080472386686,fit,Mid
0.5,3.65,-154.60760731377374,0.0008751339152041335,-154.60754575027852,fit,Mid
0.5,3.8,-154.60564213615552,0.0005144533386451729,-154.60609198117615,fit,Mid
0.5,4.0,-154.60302722947196,5.194076455178869e-05,-154.6035538644973,fit,Mid
0.5,4.5,-154.5975754809003,0.00021908705616693623,-154.5973782467491,fit,Mid
0.5,5.0,-154.5935188400672,0.0001923978219972317,-154.59305888866766,fit,Mid
0.66667,3.0,-154.57374776990358,0.0006429176616348642,-154.57305045187928,fit,AA
0.66667,3.2,-154.59423901074334,0.003282347461500554,-154.59523711471167,fit,AA
0.66667,3.35,-154.60271857212098,0.0006004099071341701,-154.6025882206714,fit,AA
0.66667,3.5,-154.60505040100912,0.0005427077347613859,-154.6055598998939,fit,AA
0.66667,3.65,-154.60579660697815,5.23826694365164e-05,-154.60604229234704,fit,AA
0.66667,3.8,-154.60475444584125,0.0006463327772299986,-154.60518237734115,fit,AA
0.66667,4.0,-154.60251385678086,0.0005373667093335429,-154.60308786348736,fit,AA
0.66667,4.5,-154.59805565955108,0.0007368805411530256,-154.59729035068605,fit,AA
0.66667,5.0,-154.5928873771206,0.0012231057702623866,-154.59304227245772,fit,AA
